Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Minor 30 Interdisciplinary Archaeological Sciences,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Archaeology,Corinna Simone Reinhardt,Katharina Irene Bursztyn,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Area Contexts of Interdisciplinary Archaeological Sciences,,,Department of Archaeology,,,Interdisciplinary Archaeological Sciences
Area Applications,,,Department of Archaeology,,,Interdisciplinary Archaeological Sciences
Area Practice,,,Department of Archaeology,,,Interdisciplinary Archaeological Sciences
Area Other Interdisciplinary Approaches,,,Department of Archaeology,,,Interdisciplinary Archaeological Sciences
Major 120 Communication Science and Media Research,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Communication and Media Research,Mark Eisenegger,Stefanie Andrea Hangartner,Bachelor of Arts in Social Sciences (RVO 19)
Area Introduction to Communication Science and Media Research,,,Department of Communication and Media Research,,,Communication Science and Media Research;Communication Science and Media Research
Area Basic Methods and Statistics,,,Department of Communication and Media Research,,,Communication Science and Media Research;Communication Science and Media Research
Area Advanced Methods and Statistics,,,Department of Communication and Media Research,,,Communication Science and Media Research;Communication Science and Media Research
Area Further Core Areas Communication Science,,,Department of Communication and Media Research,,,Communication Science and Media Research;Communication Science and Media Research
Area Application Core Areas Communication Science,,,Department of Communication and Media Research,,,Communication Science and Media Research;Communication Science and Media Research
Area Subjects Communication Science,,,Department of Communication and Media Research,,,Communication Science and Media Research;Communication Science and Media Research
Area Further Topics Communication Science,,,Department of Communication and Media Research,,,Communication Science and Media Research;Communication Science and Media Research
Area Final Modules,,,Department of Communication and Media Research,,,Communication Science and Media Research
Minor 60 Communication Science and Media Research,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Communication and Media Research,Mark Eisenegger,Stefanie Andrea Hangartner,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Major 90 Communication Science and Media Research,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Communication and Media Research,Mark Eisenegger,Stefanie Andrea Hangartner,Master of Arts in Social Sciences (RVO19)
Area Research Design and Methods,,,Department of Communication and Media Research,,,Communication Science and Media Research;Communication Science and Media Research
Area Research Areas Communication Science,,,Department of Communication and Media Research,,,Communication Science and Media Research;Communication Science and Media Research
Area Qualification Communication Science,,,Department of Communication and Media Research,,,Communication Science and Media Research;Communication Science and Media Research
Area Final Modules,,,Department of Communication and Media Research,,,Communication Science and Media Research
Minor 30 Communication Science and Media Research,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Communication and Media Research,Mark Eisenegger,Stefanie Andrea Hangartner,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Major 90 Political Communication &amp; Governance,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Communication and Media Research,Mark Eisenegger,Karin Pühringer,Master of Arts in Social Sciences (RVO19)
Area Research Design and Methods,,,Department of Communication and Media Research,,,Political Communication &amp;Governance
Area Research Areas Communication Science,,,Department of Communication and Media Research,,,Political Communication &amp;Governance
Area Qualification Political Communication,,,Department of Communication and Media Research,,,Political Communication &amp;Governance
Area Research Competencies Political Communication,,,Department of Communication and Media Research,,,Political Communication &amp;Governance
Area Final Modules,,,Department of Communication and Media Research,,,Political Communication &amp;Governance
Major 90 Strategic Communication &amp; Management,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Communication and Media Research,Mark Eisenegger,Karin Pühringer,Master of Arts in Social Sciences (RVO19)
Area Research Design and Methods,,,Department of Communication and Media Research,,,Strategic Communication &amp;Management
Area Forschungsbereiche der Kommunikationwissenschaft,,,Department of Communication and Media Research,,,Strategic Communication &amp;Management
Area Qualification Strategic Communication,,,Department of Communication and Media Research,,,Strategic Communication &amp;Management
Area Research Competencies Strategic Communication,,,Department of Communication and Media Research,,,Strategic Communication &amp;Management
Area Final Modules,,,Department of Communication and Media Research,,,Strategic Communication &amp;Management
Area German Linguistics,,,Department of German and Scandinavian Studies,,,German Literature and Linguistics;German Literature and Linguistics
Area Medieval and Early Modern German Literature,,,Department of German and Scandinavian Studies,,,German Literature and Linguistics;German Literature and Linguistics
Area Modern and Contemporary German Literature,,,Department of German and Scandinavian Studies,,,German Literature and Linguistics;German Literature and Linguistics
Area Comparative Skills,,,Department of German and Scandinavian Studies,,,German Literature and Linguistics;German Literature and Linguistics
Area Transferable Skills,,,Department of German and Scandinavian Studies,,,German Literature and Linguistics
Area Other Curricular Modules,,,Department of German and Scandinavian Studies,,,German Literature and Linguistics
Area Medieval and Early Modern Art,,,Institute of Art History,,,Art History;Art History
Area Modern and Contemporary Art,,,Institute of Art History,,,Art History;Art History
Area Theories and Methods of Art History,,,Institute of Art History,,,Art History;Art History
Area Art-Historical Fields of Practice,,,Institute of Art History,,,Art History;Art History
Area Language Acquisition,,,Institute of Art History,,,Art History;Art History
Area Other Curricular Modules,,,Institute of Art History,,,Art History
Area Theories and Methods,,,Institute of Art History,,,East Asian Art History
Area Culture-specific Contexts and Topics,,,Institute of Art History,,,East Asian Art History
Area Museums and Archives,,,Institute of Art History,,,East Asian Art History
Area Language Acquisition,,,Institute of Art History,,,East Asian Art History
Single Major 120 Art History,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Master of Arts (RVO19)
Area History of the Visual Arts,,,Institute of Art History,,,Art History;Art History;Art History
Area Media of the Visual Arts,,,Institute of Art History,,,Art History;Art History;Art History
Area Places and Spaces of the Visual Arts,,,Institute of Art History,,,Art History;Art History;Art History
Area Theories and Discourses of Art History,,,Institute of Art History,,,Art History;Art History;Art History
Area Transferable Skills,,,Institute of Art History,,,Art History;Art History
Area Other Curricular Modules,,,Institute of Art History,,,Art History;Art History
Area Final Modules,,,Institute of Art History,,,Art History;Art History
Major 90 Art History,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Master of Arts (RVO19)
Minor 30 Art History,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Major 90 Art History in a Global Context,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Master of Arts (RVO19)
Area Theories of Global Art History,,,Institute of Art History,,,Art History in a Global Context
Area Spaces of Global Art History,,,Institute of Art History,,,Art History in a Global Context
Area Transferable Skills,,,Institute of Art History,,,Art History in a Global Context
Area Other Curricular Modules,,,Institute of Art History,,,Art History in a Global Context
Area Final Modules,,,Institute of Art History,,,Art History in a Global Context
Major 90 East Asian Art History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Master of Arts (RVO19)
Area Theories and Methods,,,Institute of Art History,,,East Asian Art History;East Asian Art History
Area Culture-specific Contexts and Topics,,,Institute of Art History,,,East Asian Art History;East Asian Art History
Area Museums and Archives,,,Institute of Art History,,,East Asian Art History;East Asian Art History
Area Transferable Skills,,,Institute of Art History,,,East Asian Art History
Area Other Curricular Modules,,,Institute of Art History,,,East Asian Art History
Area Final Modules,,,Institute of Art History,,,East Asian Art History
Minor 30 East Asian Art History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
Area Scandinavian Literary and Cultural Studies,,,Department of German and Scandinavian Studies,,,Scandinavian Studies;Scandinavian Studies
"Area Language – Structure, Knowledge and Skills",,,Department of German and Scandinavian Studies,,,Scandinavian Studies;Scandinavian Studies
Area Transferable Skills,,,Department of German and Scandinavian Studies,,,Scandinavian Studies
Area Other Curricular Modules,,,Department of German and Scandinavian Studies,,,Scandinavian Studies
Area Historical Language Stages,,,Department of German and Scandinavian Studies,,,Comparative Germanic Linguistics
Major 90 German Literature/Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Master of Arts (RVO19)
Area Historical Language Stages,,,Department of German and Scandinavian Studies,,,German Literature/Linguistics;German Literature/Linguistics;Comparative Germanic Linguistics
Area Comparative Language History,,,Department of German and Scandinavian Studies,,,German Literature/Linguistics;German Literature/Linguistics;Comparative Germanic Linguistics
Area German Linguistics,,,Department of German and Scandinavian Studies,,,German Literature/Linguistics;German Literature/Linguistics;Comparative Germanic Linguistics
Area Medieval and Early Modern German Literature,,,Department of German and Scandinavian Studies,,,German Literature/Linguistics;German Literature/Linguistics;Comparative Germanic Linguistics
Area Modern and Contemporary German Literature,,,Department of German and Scandinavian Studies,,,German Literature/Linguistics;German Literature/Linguistics
Area Comparative Skills,,,Department of German and Scandinavian Studies,,,German Literature/Linguistics;German Literature/Linguistics
Area Transferable Skills,,,Department of German and Scandinavian Studies,,,German Literature/Linguistics
Area Other Curricular Modules,,,Department of German and Scandinavian Studies,,,German Literature/Linguistics
Minor 30 German Literature/Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Master of Arts in Ancient Judaism (JDP);Master of Arts (RVO19);Master of Arts in Social Sciences (RVO19);Master of Arts UZH in Study of Religions Bologna 2020;Master of Theology UZH Bologna 2020;Master of Science Faculty of Science (120) (2021)
